customerID,DeviceProtection_No internet service,OnlineBackup_No internet service,OnlineSecurity_No internet service,InternetService_No,InternetService_Fiber optic,TechSupport_No,OnlineSecurity_No,PaymentMethod_Electronic check,Contract_Two year,Contract_Month-to-month,churn,MonthlyCharges,tenure
5954-BDFSG,0,0,0,0,1,0,1,0,1,0,0,107.5,72
0434-CSFON,0,0,0,0,1,1,1,1,0,1,0,100.5,47
1215-FIGMP,0,0,0,0,1,1,1,0,0,1,0,89.9,60
5698-BQJOH,0,0,0,0,1,1,1,1,0,1,1,94.4,9
5122-CYFXA,0,0,0,0,0,0,1,1,0,1,0,75.3,3
8627-ZYGSZ,0,0,0,0,1,1,1,1,0,0,0,78.9,47
3410-YOQBQ,0,0,0,0,0,0,1,0,1,0,0,79.2,31
7410-OIEDU,0,0,0,0,1,1,0,0,0,1,0,79.85,10
1891-QRQSA,0,0,0,0,1,0,0,0,1,0,0,111.6,64
2673-CXQEU,0,0,0,0,1,1,0,1,0,0,0,110.5,56
5919-TMRGD,0,0,0,0,1,1,1,1,0,1,1,79.35,1
9191-MYQKX,0,0,0,0,1,1,1,0,0,1,1,75.15,7
9919-YLNNG,0,0,0,0,1,0,1,0,0,1,0,103.8,42
4445-ZJNMU,0,0,0,0,1,1,1,0,0,1,0,99.3,9
4767-HZZHQ,0,0,0,0,1,1,1,0,0,1,0,82.05,30
7233-PAHHL,0,0,0,0,0,0,0,0,1,0,0,84.0,66
6067-NGCEU,0,0,0,0,1,1,0,0,0,1,0,111.05,65
9848-JQJTX,0,0,0,0,1,1,1,0,1,0,0,100.9,72
8637-XJIVR,0,0,0,0,1,1,0,1,0,1,1,78.95,12
4598-XLKNJ,0,0,0,0,1,1,1,1,0,1,1,98.5,25
7123-WQUHX,0,0,0,0,1,0,1,0,0,0,0,95.0,38
3192-NQECA,0,0,0,0,1,0,1,0,1,0,1,110.0,68
6728-DKUCO,0,0,0,0,1,1,0,1,0,0,0,104.15,72
8597-CWYHH,0,0,0,0,1,1,1,0,0,0,0,94.35,43
0486-HECZI,0,0,0,0,1,1,0,1,0,1,1,96.75,55
5712-AHQNN,0,0,0,0,1,1,1,1,0,1,0,91.65,43
4846-WHAFZ,0,0,0,0,1,1,1,1,0,1,1,76.5,37
3071-VBYPO,0,0,0,0,1,1,0,1,0,1,0,89.85,3
5299-RULOA,0,0,0,0,1,1,0,1,0,1,1,100.25,10
9445-ZUEQE,0,0,0,0,1,0,1,0,0,1,0,85.2,27
1091-SOZGA,0,0,0,0,1,1,1,0,0,0,0,99.8,56
4622-YNKIJ,0,0,0,0,1,0,0,1,1,0,0,88.95,33
4412-YLTKF,0,0,0,0,1,1,1,1,0,1,1,78.05,27
2876-GZYZC,0,0,0,0,1,1,1,1,0,1,0,85.95,13
7850-VWJUU,0,0,0,0,1,1,0,0,0,1,0,75.0,23
3146-MSEGF,0,0,0,0,0,0,0,0,1,0,0,88.05,72
1095-WGNGG,0,0,0,0,1,1,1,0,1,0,0,101.05,61
2636-SJDOU,0,0,0,0,1,1,0,0,0,0,0,84.3,64
5716-EZXZN,0,0,0,0,1,0,0,0,1,0,0,99.05,65
3874-EQOEP,0,0,0,0,1,1,1,0,0,1,1,95.0,7
1679-JRFBR,0,0,0,0,1,1,0,0,0,0,0,108.15,70
9073-ZZIAY,0,0,0,0,0,0,0,1,1,0,0,86.1,62
6551-GNYDG,0,0,0,0,1,1,1,0,0,1,0,80.9,14
9167-APMXZ,0,0,0,0,1,1,1,0,0,1,0,84.15,22
0867-MKZVY,0,0,0,0,1,1,0,1,0,1,1,82.4,20
5997-OPVFA,0,0,0,0,0,0,0,0,1,0,0,89.05,72
7654-YWJUF,0,0,0,0,1,0,0,0,0,0,0,84.25,43
1875-QIVME,0,0,0,0,1,0,1,1,0,1,1,104.4,2
6727-IOTLZ,0,0,0,0,0,0,1,0,1,0,0,81.95,14
0691-JVSYA,0,0,0,0,1,1,1,0,0,0,1,94.85,53
2070-FNEXE,0,0,0,0,1,1,0,0,0,1,1,76.45,7
5947-SGKCL,0,0,0,0,1,1,1,0,0,1,0,105.35,15
9367-WXLCH,0,0,0,0,1,1,1,0,0,1,1,84.5,8
1918-ZBFQJ,0,0,0,0,1,1,1,1,0,1,1,79.25,13
2472-OVKUP,0,0,0,0,1,1,1,1,0,1,1,91.0,6
9680-NIAUV,0,0,0,0,1,1,0,0,1,0,0,109.7,72
2604-IJPDU,0,0,0,0,1,0,0,1,0,1,0,96.55,20
6168-YBYNP,0,0,0,0,1,0,1,1,0,1,0,111.35,59
7255-SSFBC,0,0,0,0,1,0,1,0,1,0,0,112.25,72
9323-HGFWY,0,0,0,0,1,0,0,0,0,0,0,101.9,27
8544-GOQSH,0,0,0,0,1,0,1,0,0,1,0,80.05,14
3363-DTIVD,0,0,0,0,1,1,0,1,1,0,0,105.55,71
7018-WBJNK,0,0,0,0,1,1,1,0,0,1,0,78.3,13
7674-YTAFD,0,0,0,0,1,0,1,0,0,0,0,79.95,33
1285-OKIPP,0,0,0,0,1,1,1,1,0,1,1,79.9,1
7825-ECJRF,0,0,0,0,1,0,0,1,0,1,1,106.6,19
1347-KTTTA,0,0,0,0,1,0,1,0,0,0,0,102.45,64
2504-DSHIH,0,0,0,0,1,1,1,1,0,1,0,86.8,23
2040-LDIWQ,0,0,0,0,0,0,1,0,1,0,0,84.2,65
6496-JDSSB,0,0,0,0,1,1,1,0,0,1,0,80.0,8
6341-JVQGF,0,0,0,0,0,0,0,0,0,0,0,81.15,31
4811-JBUVU,0,0,0,0,1,0,1,0,0,1,0,89.9,30
0945-TSONX,0,0,0,0,0,0,0,0,1,0,0,85.3,47
2651-ZCBXV,0,0,0,0,1,0,0,0,1,0,0,108.0,54
3316-UWXUY,0,0,0,0,1,0,0,0,0,1,0,93.5,50
8937-RDTHP,0,0,0,0,1,1,0,0,0,1,1,84.6,1
0094-OIFMO,0,0,0,0,1,1,1,1,0,1,1,95.0,11
7301-ABVAD,0,0,0,0,0,0,1,0,1,0,0,86.6,72
6614-FHDBO,0,0,0,0,1,0,1,0,1,0,0,109.2,72
9058-HRZSV,0,0,0,0,1,1,0,1,0,1,0,94.4,65
0221-WMXNQ,0,0,0,0,1,1,0,1,0,1,0,75.35,4
0959-WHOKV,0,0,0,0,1,1,0,1,0,0,0,99.0,42
4075-JFPGR,0,0,0,0,1,1,0,1,0,0,0,93.5,51
3282-ZISZV,0,0,0,0,0,0,1,0,0,0,0,83.7,32
7017-VFHAY,0,0,0,0,1,0,0,0,1,0,0,115.1,61
6655-LHBYW,0,0,0,0,1,0,0,0,0,0,0,114.35,50
3606-TWKGI,0,0,0,0,1,1,1,1,0,1,1,106.9,13
7529-ZDFXI,0,0,0,0,1,1,1,1,0,1,0,89.85,57
1950-KSVVJ,0,0,0,0,1,0,0,0,0,0,0,113.3,45
0123-CRBRT,0,0,0,0,0,0,0,0,1,0,0,88.1,61
3197-ARFOY,0,0,0,0,1,0,0,0,0,1,0,105.0,19
4385-GZQXV,0,0,0,0,1,0,1,1,0,1,1,94.45,16
4716-HHKQH,0,0,0,0,1,0,1,1,0,1,0,107.05,20
6432-TWQLB,0,0,0,0,1,0,1,1,0,1,1,85.4,5
4484-GLZOU,0,0,0,0,1,1,1,1,0,1,1,105.05,52
9512-UIBFX,0,0,0,0,1,1,1,0,0,1,1,95.15,18
6202-DYYFX,0,0,0,0,1,1,1,0,0,0,0,76.0,22
7534-BFESC,0,0,0,0,1,1,1,1,0,1,1,76.1,24
2294-SALNE,0,0,0,0,1,0,1,0,0,0,0,86.8,23
4847-TAJYI,0,0,0,0,1,1,1,1,0,1,0,89.35,6
6556-DBKZF,0,0,0,0,1,1,1,1,1,0,0,76.05,71
6851-WEFYX,0,0,0,0,1,1,1,1,0,1,0,100.8,35
8098-LLAZX,0,0,0,0,1,1,1,1,0,1,1,95.45,4
8266-VBFQL,0,0,0,0,1,0,1,1,0,1,0,90.4,4
2240-HSJQD,0,0,0,0,1,1,1,0,0,1,0,81.85,38
4115-BNPJY,0,0,0,0,0,0,1,0,1,0,0,75.55,29
3167-SNQPL,0,0,0,0,1,1,1,1,0,1,0,101.15,38
4091-TVOCN,0,0,0,0,0,1,0,0,0,0,0,78.75,48
7277-OZCGZ,0,0,0,0,1,0,0,1,0,1,0,89.05,22
1557-EMYVT,0,0,0,0,1,0,0,0,1,0,0,115.05,43
7563-BIUPC,0,0,0,0,1,1,1,1,0,1,1,80.6,5
5027-YOCXN,0,0,0,0,1,0,0,0,0,0,0,110.05,51
2321-OMBXY,0,0,0,0,0,0,0,0,0,0,1,80.3,38
2840-XANRC,0,0,0,0,1,1,1,1,0,1,1,93.15,24
6745-JEFZB,0,0,0,0,1,0,1,0,0,1,0,91.5,35
5020-ZSTTY,0,0,0,0,0,0,0,0,0,0,1,82.45,54
4983-CLMLV,0,0,0,0,1,0,1,0,0,1,0,102.7,52
5701-YVSVF,0,0,0,0,1,0,1,1,0,1,0,82.9,11
2739-CACDQ,0,0,0,0,1,1,1,0,0,1,0,82.65,17
2379-GYFLQ,0,0,0,0,1,1,1,0,0,0,0,94.9,46
2868-SNELZ,0,0,0,0,1,1,1,0,0,1,1,80.6,2
4322-RCYMT,0,0,0,0,0,0,1,0,0,0,1,75.8,68
6680-NENYN,0,0,0,0,1,1,1,1,1,0,1,104.6,43
2088-IEBAU,0,0,0,0,0,0,0,1,1,0,0,88.15,68
7982-VCELR,0,0,0,0,1,1,1,0,0,1,0,94.8,36
1343-EHPYB,0,0,0,0,1,1,1,1,0,1,1,103.4,63
6885-PKOAM,0,0,0,0,0,0,0,0,1,0,0,85.75,71
2034-GDRCN,0,0,0,0,1,1,1,1,0,1,1,90.4,2
4654-DLAMQ,0,0,0,0,1,1,0,0,0,0,0,97.0,64
4115-NZRKS,0,0,0,0,1,1,1,1,0,1,0,89.15,7
0219-YTZUE,0,0,0,0,1,1,1,0,0,1,1,84.8,4
4572-DVCGN,0,0,0,0,1,1,1,0,0,1,1,80.25,10
8984-EYLLL,0,0,0,0,1,0,1,1,1,0,0,105.25,64
9833-TGFHX,0,0,0,0,1,1,0,1,0,0,0,97.1,42
5229-DTFYB,0,0,0,0,1,0,1,0,1,0,0,98.8,41
3583-KRKMD,0,0,0,0,1,0,1,0,0,1,0,75.9,18
1010-DIAUQ,0,0,0,0,1,1,1,0,0,1,1,96.5,5
9571-EDEBV,0,0,0,0,1,1,1,0,0,0,0,98.65,71
3520-FJGCV,0,0,0,0,1,0,0,0,1,0,0,112.6,72
0259-GBZSH,0,0,0,0,1,1,1,1,0,1,1,85.65,2
2805-EDJPQ,0,0,0,0,1,0,1,0,0,0,0,99.75,56
6862-CQUMB,0,0,0,0,1,1,1,0,0,1,0,96.1,37
7156-MXBJE,0,0,0,0,0,0,1,0,0,0,0,85.1,43
9601-BRXPO,0,0,0,0,1,0,1,0,0,1,1,104.95,25
2863-IMQDR,0,0,0,0,0,0,0,1,1,0,0,89.65,61
5686-CMAWK,0,0,0,0,1,0,1,1,0,0,0,86.75,17
5651-CRHKQ,0,0,0,0,1,0,1,0,0,0,0,86.2,41
5167-ZFFMM,0,0,0,0,1,1,1,0,0,1,1,90.85,1
6583-SZVGP,0,0,0,0,1,1,1,0,1,0,0,108.1,48
0533-BNWKF,0,0,0,0,1,1,1,1,0,1,1,85.45,55
8782-LKFPK,0,0,0,0,1,1,1,0,0,1,0,90.4,44
3597-MVHJT,0,0,0,0,1,1,1,0,0,1,0,95.6,27
9774-NRNAU,0,0,0,0,0,0,1,0,0,1,0,84.8,27
3951-NJCVI,0,0,0,0,1,1,1,1,0,1,0,95.05,42
2977-CEBSX,0,0,0,0,0,0,0,0,1,0,0,90.05,66
0177-PXBAT,0,0,0,0,1,0,0,0,0,1,0,109.9,33
0979-PHULV,0,0,0,0,1,1,1,0,0,1,1,99.45,69
4742-DRORA,0,0,0,0,1,1,0,0,0,0,0,95.4,60
0111-KLBQG,0,0,0,0,1,1,1,0,0,1,0,93.95,32
0334-GDDSO,0,0,0,0,1,1,1,1,0,1,1,81.35,3
5973-EJGDP,0,0,0,0,1,0,1,1,0,1,0,87.35,51
4686-GEFRM,0,0,0,0,1,0,1,0,1,0,0,98.7,70
0578-SKVMF,0,0,0,0,1,1,1,1,0,1,1,83.3,22
5564-NEMQO,0,0,0,0,1,1,1,0,0,1,1,75.3,1
7663-ZTEGJ,0,0,0,0,1,0,1,0,0,0,0,100.55,29
2806-MLNTI,0,0,0,0,1,1,1,0,0,0,0,105.1,52
8734-DKSTZ,0,0,0,0,1,1,1,1,0,1,0,85.95,10
4360-PNRQB,0,0,0,0,1,1,1,0,0,1,0,75.6,18
4376-KFVRS,0,0,0,0,1,0,0,0,1,0,0,114.05,72
5886-VLQVU,0,0,0,0,1,0,1,0,0,1,0,89.85,35
0771-WLCLA,0,0,0,0,1,0,0,1,0,1,0,112.95,16
5628-RKIFK,0,0,0,0,1,1,0,0,0,1,0,101.55,49
0206-TBWLC,0,0,0,0,1,0,0,0,0,0,0,114.65,54
1910-FMXJM,0,0,0,0,1,1,1,1,0,1,0,80.4,36
7752-XUSCI,0,0,0,0,1,1,1,1,0,1,1,105.9,60
5168-MSWXT,0,0,0,0,1,1,1,1,0,1,0,94.75,8
1090-ESELR,0,0,0,0,1,0,0,0,1,0,0,105.5,72
0256-LTHVJ,0,0,0,0,1,1,1,1,0,1,1,81.05,28
8313-NDOIA,0,0,0,0,1,1,1,1,0,1,0,104.15,24
5149-CUZUJ,0,0,0,0,1,0,1,0,0,0,0,92.9,28
0942-KOWSM,0,0,0,0,0,0,1,0,1,0,0,80.8,30
1452-VOQCH,0,0,0,0,1,1,1,1,0,1,0,75.1,1
0880-TKATG,0,0,0,0,1,1,1,1,0,1,1,101.15,4
3811-VBYBZ,0,0,0,0,1,1,1,1,0,1,1,99.8,7
1480-BKXGA,0,0,0,0,1,0,0,0,1,0,0,116.05,72
9076-AXYIK,0,0,0,0,1,0,1,1,1,0,0,102.1,64
5968-XQIVE,0,0,0,0,1,1,1,1,0,0,0,89.7,72
2359-KMGLI,0,0,0,0,1,1,1,1,0,1,1,80.25,24
3780-DDGSE,0,0,0,0,0,0,1,1,0,1,0,76.05,35
4431-EDMIQ,0,0,0,0,0,0,0,1,0,1,0,75.7,7
0306-JAELE,0,0,0,0,1,0,1,1,0,1,1,96.1,5
4612-SSVHJ,0,0,0,0,1,1,1,1,0,1,0,81.45,20
5168-MQQCA,0,0,0,0,1,0,1,0,0,0,0,108.5,72
5949-XIKAE,0,0,0,0,1,1,1,1,0,1,1,83.55,8
7971-HLVXI,0,0,0,0,1,1,1,0,1,0,0,84.5,72
9094-AZPHK,0,0,0,0,1,1,1,1,0,1,0,100.15,15
3649-JPUGY,0,0,0,0,0,0,1,0,1,0,0,88.6,72
3552-CTCYF,0,0,0,0,1,1,1,0,1,0,0,104.8,63
7783-YKGDV,0,0,0,0,1,1,0,0,0,1,1,99.7,12
4374-YMUSQ,0,0,0,0,1,0,0,0,0,0,0,116.25,34
4513-CXYIX,0,0,0,0,1,1,0,0,1,0,0,80.7,71
7803-XOCCZ,0,0,0,0,1,0,0,0,0,1,0,84.05,52
5736-YEJAX,0,0,0,0,0,0,0,0,1,0,0,79.45,69
5609-CEBID,0,0,0,0,1,1,1,1,0,1,1,94.1,20
8981-FJGLA,0,0,0,0,1,1,1,0,0,1,0,78.0,11
7218-HKQFK,0,0,0,0,1,0,1,1,0,1,1,94.2,2
4636-QRJKY,0,0,0,0,1,0,1,1,0,1,1,80.5,6
4332-MUOEZ,0,0,0,0,1,0,0,0,0,0,0,94.3,20
8535-SFUTN,0,0,0,0,1,1,0,1,0,1,0,106.45,61
8677-HDZEE,0,0,0,0,1,0,1,0,0,1,0,105.45,56
2475-MROZF,0,0,0,0,1,0,0,0,0,1,0,95.0,30
9412-GHEEC,0,0,0,0,1,0,1,0,0,1,1,104.8,40
0257-ZESQC,0,0,0,0,1,1,0,0,0,1,1,75.2,27
5174-ITUMV,0,0,0,0,1,1,1,1,0,0,0,105.4,67
0913-XWSCN,0,0,0,0,1,1,1,0,0,1,0,85.5,55
6825-UYPFK,0,0,0,0,1,1,1,0,0,1,1,75.6,23
8397-MVTAZ,0,0,0,0,1,1,1,1,0,1,1,100.05,34
0750-EBAIU,0,0,0,0,1,1,0,1,0,0,0,91.25,52
8606-CIQUL,0,0,0,0,1,0,0,0,1,0,0,115.75,72
3571-DPYUH,0,0,0,0,1,0,1,0,0,0,0,94.7,58
0356-OBMAC,0,0,0,0,1,0,1,0,1,0,0,99.9,56
4234-XTNEA,0,0,0,0,1,1,1,1,0,1,0,79.95,2
1297-VQDRP,0,0,0,0,1,0,1,0,0,0,0,107.15,68
9282-IZGQK,0,0,0,0,1,1,1,1,0,1,1,85.0,1
5348-CAGXB,0,0,0,0,1,1,1,1,0,1,0,89.55,12
0621-HJWXJ,0,0,0,0,1,1,1,0,0,1,0,81.55,63
8905-IAZPF,0,0,0,0,1,1,1,0,0,0,0,95.65,69
5394-MEITZ,0,0,0,0,0,0,1,0,1,0,0,80.6,60
6859-QNXIQ,0,0,0,0,1,0,0,0,1,0,0,113.1,72
1342-JPNKI,0,0,0,0,1,1,1,0,0,1,1,86.05,10
7129-AZJDE,0,0,0,0,1,1,1,0,0,0,0,78.95,34
6986-IJDHX,0,0,0,0,1,1,1,0,0,1,1,86.3,39
2560-PPCHE,0,0,0,0,1,0,1,0,0,0,0,105.05,65
4676-MQUEA,0,0,0,0,1,1,0,0,0,0,0,101.9,50
3580-HYCSP,0,0,0,0,1,1,0,0,1,0,0,110.3,72
1352-HNSAW,0,0,0,0,1,0,0,0,1,0,0,115.6,72
5301-GAUUY,0,0,0,0,1,1,1,0,0,1,1,80.35,32
6815-ABQFQ,0,0,0,0,1,0,1,1,0,0,0,107.25,56
6103-LIANB,0,0,0,0,1,1,1,0,1,0,0,99.5,59
6967-QIQRV,0,0,0,0,1,0,0,1,0,0,0,101.9,15
0939-YAPAF,0,0,0,0,1,1,1,1,0,1,1,100.25,35
4710-FDUIZ,0,0,0,0,1,1,1,0,0,0,1,100.3,56
6030-REHUX,0,0,0,0,1,0,1,1,0,1,0,110.85,28
9548-LIGTA,0,0,0,0,0,0,0,0,1,0,0,81.05,61
5150-LJNSR,0,0,0,0,1,1,0,0,0,0,0,98.05,31
6522-YRBXD,0,0,0,0,1,1,0,1,0,1,0,94.55,35
3627-FHKBK,0,0,0,0,1,1,0,0,0,1,1,75.3,1
2865-TCHJW,0,0,0,0,1,1,1,1,0,1,1,89.2,4
5192-EBGOV,0,0,0,0,1,1,1,1,0,1,1,85.7,1
0742-LAFQK,0,0,0,0,1,1,0,1,1,0,0,99.15,72
0795-LAFGP,0,0,0,0,0,0,0,1,1,0,0,90.4,71
0619-OLYUR,0,0,0,0,1,0,0,0,1,0,0,111.9,72
0459-SPZHJ,0,0,0,0,0,1,0,0,1,0,0,83.5,63
0215-BQKGS,0,0,0,0,1,1,0,0,0,1,0,84.3,30
1710-RCXUS,0,0,0,0,1,1,1,0,0,0,0,90.35,51
2001-MCUUW,0,0,0,0,1,0,1,1,1,0,0,108.65,46
2731-GJRDG,0,0,0,0,1,0,0,0,0,0,0,109.55,32
4723-BEGSG,0,0,0,0,0,0,0,0,1,0,0,86.65,72
6516-NKQBO,0,0,0,0,0,0,0,0,1,0,0,81.0,38
8207-DMRVL,0,0,0,0,1,0,0,0,1,0,0,114.55,72
3419-SNJJD,0,0,0,0,1,1,0,0,0,1,1,105.25,65
6689-VRRTK,0,0,0,0,1,1,0,0,0,0,0,109.8,44
7134-MJPDY,0,0,0,0,1,0,1,0,0,0,0,102.85,66
5240-CAOYT,0,0,0,0,1,0,0,0,0,1,0,87.55,57
4059-IIEBK,0,0,0,0,1,1,1,0,0,1,0,78.55,7
0516-UXRMT,0,0,0,0,1,1,0,1,0,0,0,92.05,62
4851-BQDNX,0,0,0,0,1,1,1,1,0,0,0,85.05,40
3003-CMDUU,0,0,0,0,1,0,1,1,0,1,0,95.15,25
5016-IBERQ,0,0,0,0,1,1,1,1,0,1,0,84.25,23
6797-UCJHZ,0,0,0,0,1,1,1,0,0,0,0,104.6,66
2469-DTSGX,0,0,0,0,1,0,1,1,1,0,0,111.65,72
4554-YGZIH,0,0,0,0,1,1,1,0,0,1,1,90.05,49
5099-BAILX,0,0,0,0,1,0,1,0,0,1,1,110.75,43
1775-KWJKQ,0,0,0,0,0,0,0,0,1,0,0,89.85,72
7207-RMRDB,0,0,0,0,1,1,1,1,0,1,1,105.5,65
7954-MLBUN,0,0,0,0,1,0,1,0,1,0,0,99.45,31
4913-EHYUI,0,0,0,0,1,1,0,0,0,0,1,104.55,56
0195-IESCP,0,0,0,0,1,1,1,1,0,1,1,85.25,10
0970-ETWGE,0,0,0,0,1,1,1,1,0,1,1,89.55,1
4908-XAXAY,0,0,0,0,1,1,1,0,0,0,0,89.85,49
1626-ERCMM,0,0,0,0,1,1,1,1,0,1,1,94.55,20
5644-PDMZC,0,0,0,0,1,1,1,1,0,1,1,89.5,2
5183-SNMJQ,0,0,0,0,1,0,1,0,0,1,0,95.1,10
8100-PNJMH,0,0,0,0,0,0,0,0,1,0,0,88.85,68
7838-LAZFO,0,0,0,0,0,1,0,0,0,0,0,78.8,45
3276-HDUEG,0,0,0,0,1,1,1,0,0,1,1,75.05,1
3729-OWRVL,0,0,0,0,1,0,0,1,1,0,0,110.35,65
5760-IFJOZ,0,0,0,0,1,1,1,0,0,1,0,107.95,3
2826-UWHIS,0,0,0,0,1,1,1,0,0,1,0,81.4,45
1448-PWKYE,0,0,0,0,1,1,1,1,0,1,1,80.0,1
7251-LJBQN,0,0,0,0,1,0,1,0,0,0,0,103.75,40
5076-YVXCM,0,0,0,0,1,1,1,0,0,1,0,83.4,51
6663-JOCQO,0,0,0,0,0,0,0,0,0,0,0,75.25,31
2276-YDAVZ,0,0,0,0,1,1,1,0,0,1,1,75.1,3
0078-XZMHT,0,0,0,0,0,0,1,0,1,0,0,85.15,72
9978-HYCIN,0,0,0,0,1,1,1,0,0,0,0,84.95,47
9450-TRJUU,0,0,0,0,1,1,1,1,0,1,0,83.15,35
1766-GKNMI,0,0,0,0,1,1,1,1,0,1,0,84.9,29
7133-VBDCG,0,0,0,0,1,1,0,0,0,1,1,79.85,25
8329-UTMVM,0,0,0,0,1,0,1,0,0,0,0,104.65,27
3014-WJKSM,0,0,0,0,1,1,1,0,0,1,0,75.3,29
3347-YJZZE,0,0,0,0,0,1,1,0,0,1,0,80.1,29
7929-DMBCV,0,0,0,0,1,0,1,0,0,1,0,81.0,20
5433-KYGHE,0,0,0,0,1,0,0,0,0,1,0,86.0,14
5575-TPIZQ,0,0,0,0,1,1,0,0,0,1,0,89.15,46
9944-AEXBM,0,0,0,0,1,1,1,0,0,1,0,85.65,32
6952-OMNWB,0,0,0,0,1,1,1,0,0,1,0,80.35,68
4952-YSOGZ,0,0,0,0,1,1,1,1,0,1,1,85.95,4
5244-IRFIH,0,0,0,0,1,1,1,1,0,1,1,94.5,33
6786-OBWQR,0,0,0,0,1,1,1,1,0,1,0,80.85,5
2684-EIWEO,0,0,0,0,1,1,0,0,0,1,1,91.7,30
6439-GTPCA,0,0,0,0,1,0,1,1,0,1,1,87.25,45
1216-JWVUX,0,0,0,0,1,1,1,1,0,1,0,75.5,25
7564-GHCVB,0,0,0,0,1,1,0,0,1,0,0,79.05,72
1173-NOEYG,0,0,0,0,1,1,1,0,0,1,0,90.15,27
6647-ZEDXT,0,0,0,0,1,0,1,0,0,0,0,110.45,30
2521-NPUZR,0,0,0,0,1,0,0,0,1,0,0,101.0,70
1307-TVUFB,0,0,0,0,1,1,1,0,0,1,0,79.35,42
7503-MIOGA,0,0,0,0,0,0,0,0,1,0,0,89.85,72
6923-JHPMP,0,0,0,0,1,1,0,1,0,1,0,80.45,2
5138-WVKYJ,0,0,0,0,1,1,0,1,0,1,1,98.55,10
2499-AJYUA,0,0,0,0,1,0,1,0,1,0,0,110.8,72
6919-ELBGL,0,0,0,0,1,0,0,0,1,0,0,114.95,72
3966-HRMZA,0,0,0,0,1,1,1,0,0,1,0,75.05,3
8405-IGQFX,0,0,0,0,1,0,1,0,0,0,0,90.05,63
9477-LGWQI,0,0,0,0,0,1,0,0,1,0,0,80.15,70
0139-IVFJG,0,0,0,0,1,1,0,1,0,1,0,90.35,2
6683-VLCTZ,0,0,0,0,1,1,1,1,0,1,1,98.55,20
2189-WWOEW,0,0,0,0,1,1,1,0,0,1,1,85.9,15
5684-FJVYR,0,0,0,0,1,0,0,0,1,0,0,90.35,72
1894-IGFSG,0,0,0,0,1,1,1,1,0,1,1,89.25,22
5175-WLYXL,0,0,0,0,1,1,1,0,0,1,0,78.85,22
0236-HFWSV,0,0,0,0,1,1,1,1,0,1,1,93.35,15
5842-POCOP,0,0,0,0,1,1,0,0,0,1,1,88.9,5
2037-XJFUP,0,0,0,0,1,1,1,1,0,0,1,95.8,33
8823-RLPWL,0,0,0,0,1,1,0,0,1,0,0,110.65,72
7314-OXENN,0,0,0,0,1,1,1,1,0,1,1,82.0,2
3758-CKOQL,0,0,0,0,1,0,0,0,0,0,0,107.0,59
0691-IFBQW,0,0,0,0,1,1,0,1,0,0,1,110.0,46
0810-BDHAW,0,0,0,0,0,1,0,1,0,0,0,78.4,24
3442-ZHHCC,0,0,0,0,0,1,0,0,0,0,0,76.9,68
2040-OBMLJ,0,0,0,0,1,0,1,0,0,0,0,81.7,31
3009-JWMPU,0,0,0,0,1,1,1,1,0,0,1,96.75,62
